date,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,y_true,y_pred,residual
2018-10-20 08:30:00,37.26,0.0,0.02,75.62,100.0,30600,Weekend,Saturday,Light_Load,43.06,43.34819412231445,-0.28819412231445085
2018-10-20 09:15:00,20.99,0.0,0.03,94.8,100.0,33300,Weekend,Saturday,Medium_Load,62.5,62.46332550048828,0.03667449951171875
2018-10-20 09:30:00,22.79,0.0,0.02,90.37,100.0,34200,Weekend,Saturday,Medium_Load,48.1,48.16470718383789,-0.0647071838378892
2018-10-20 09:45:00,23.0,0.0,0.02,90.93,100.0,35100,Weekend,Saturday,Medium_Load,50.26,50.198638916015625,0.06136108398437301
2018-10-20 10:15:00,20.27,0.0,0.02,91.25,100.0,36900,Weekend,Saturday,Maximum_Load,45.22,45.25453186035156,-0.03453186035156364
2018-10-20 10:30:00,31.61,0.0,0.03,88.21,100.0,37800,Weekend,Saturday,Maximum_Load,59.18,59.125789642333984,0.05421035766601534
2018-10-20 10:45:00,31.32,0.0,0.03,91.58,100.0,38700,Weekend,Saturday,Maximum_Load,71.42,71.58889770507812,-0.1688977050781233
2018-10-20 11:00:00,52.02,0.0,0.04,87.84,100.0,39600,Weekend,Saturday,Maximum_Load,95.62,95.803466796875,-0.18346679687499545
2018-10-20 11:15:00,26.06,0.0,0.03,91.72,100.0,40500,Weekend,Saturday,Maximum_Load,59.98,60.030609130859375,-0.050609130859378126
2018-10-20 11:30:00,37.3,0.0,0.03,86.49,100.0,41400,Weekend,Saturday,Maximum_Load,64.26,64.26181030273438,-0.001810302734369884
2018-10-20 11:45:00,35.53,0.0,0.03,86.07,100.0,42300,Weekend,Saturday,Maximum_Load,60.08,60.14573287963867,-0.06573287963867358
2018-10-20 12:00:00,17.35,4.9,0.01,85.6,98.58,43200,Weekend,Saturday,Maximum_Load,28.73,28.768890380859375,-0.038890380859374574
2018-10-20 12:15:00,0.0,15.95,0.0,100.0,33.39,44100,Weekend,Saturday,Medium_Load,5.65,5.678178787231445,-0.028178787231444957
2018-10-20 12:30:00,0.0,16.09,0.0,100.0,34.99,45000,Weekend,Saturday,Medium_Load,6.01,5.971290588378906,0.03870941162109354
2018-10-20 12:45:00,0.0,16.24,0.0,100.0,37.6,45900,Weekend,Saturday,Medium_Load,6.59,6.499809741973877,0.0901902580261229
2018-10-20 13:00:00,0.0,16.42,0.0,100.0,36.9,46800,Weekend,Saturday,Medium_Load,6.52,6.432917594909668,0.0870824050903316
2018-10-20 13:15:00,8.03,5.29,0.01,95.72,98.08,47700,Weekend,Saturday,Maximum_Load,26.57,27.146926879882812,-0.5769268798828122
2018-10-20 13:30:00,25.92,0.0,0.03,92.47,100.0,48600,Weekend,Saturday,Maximum_Load,62.96,62.869415283203125,0.09058471679687585
2018-10-20 13:45:00,46.4,0.0,0.05,91.39,100.0,49500,Weekend,Saturday,Maximum_Load,104.44,104.41537475585938,0.024625244140622726
2018-10-20 14:00:00,26.24,0.0,0.03,92.99,100.0,50400,Weekend,Saturday,Maximum_Load,66.35,66.33706665039062,0.012933349609369316
2018-10-20 14:15:00,40.72,0.0,0.04,89.34,100.0,51300,Weekend,Saturday,Maximum_Load,80.96,81.07642364501953,-0.1164236450195375
2018-10-20 14:15:00,40.72,0.0,0.04,89.34,100.0,51300,Weekend,Saturday,Maximum_Load,80.96,81.07642364501953,-0.1164236450195375
2018-10-20 14:30:00,37.01,0.0,0.04,91.6,100.0,52200,Weekend,Saturday,Maximum_Load,84.49,84.48108673095703,0.008913269042963634
2018-10-20 14:45:00,33.7,0.0,0.03,89.37,100.0,53871,Weekend,Saturday,Maximum_Load,67.14,67.08700561523438,0.05299438476562557
2018-10-20 15:00:00,34.56,0.0,0.03,89.04,100.0,54000,Weekend,Saturday,Maximum_Load,67.61,67.60212707519531,0.007872924804686932
2018-10-20 15:15:00,48.64,0.0,0.05,90.66,100.0,54900,Weekend,Saturday,Maximum_Load,104.51,104.43206787109375,0.07793212890625512
2018-10-20 15:30:00,33.8,0.0,0.04,91.98,100.0,55800,Weekend,Saturday,Maximum_Load,79.24,79.25405883789062,-0.014058837890630116
2018-10-20 15:45:00,38.66,0.0,0.03,88.59,100.0,56700,Weekend,Saturday,Maximum_Load,73.84,73.8131332397461,0.02686676025390966
2018-10-20 16:00:00,32.26,0.0,0.03,91.45,100.0,57600,Weekend,Saturday,Maximum_Load,72.9,73.01400756835938,-0.11400756835936932
2018-10-20 16:15:00,34.78,0.0,0.03,90.6,100.0,58500,Weekend,Saturday,Maximum_Load,74.45,74.27677154541016,0.1732284545898466
2018-10-20 16:30:00,30.02,0.0,0.03,92.26,100.0,59400,Weekend,Saturday,Maximum_Load,71.78,71.76067352294922,0.019326477050782387
2018-10-20 16:45:00,45.5,0.0,0.05,91.59,100.0,60300,Weekend,Saturday,Maximum_Load,103.82,103.77616882324219,0.04383117675780568
2018-10-20 17:00:00,12.56,0.0,0.02,94.98,100.0,61200,Weekend,Saturday,Maximum_Load,38.12,38.1319580078125,-0.011958007812502558
2018-10-20 17:15:00,13.79,0.0,0.02,96.07,100.0,62100,Weekend,Saturday,Medium_Load,47.7,47.404258728027344,0.2957412719726591
2018-10-20 17:45:00,10.12,0.04,0.02,95.89,100.0,64609,Weekend,Saturday,Medium_Load,34.2,34.23953628540039,-0.03953628540038778
2018-10-20 18:00:00,23.98,0.0,0.02,85.87,100.0,64800,Weekend,Saturday,Medium_Load,40.18,40.24936294555664,-0.06936294555664091
2018-10-20 18:15:00,17.53,0.0,0.02,88.83,100.0,65700,Weekend,Saturday,Medium_Load,33.91,33.89731216430664,0.012687835693355964
2018-10-20 18:45:00,0.0,18.04,0.0,100.0,28.14,67500,Weekend,Saturday,Medium_Load,5.29,5.162521839141846,0.12747816085815433
2018-10-20 19:00:00,0.0,18.07,0.0,100.0,26.32,68400,Weekend,Saturday,Medium_Load,4.93,4.851792335510254,0.07820766448974581
2018-10-20 19:15:00,0.0,18.0,0.0,100.0,22.62,69300,Weekend,Saturday,Medium_Load,4.18,4.187788963317871,-0.007788963317871378
2018-10-20 19:30:00,0.0,17.96,0.0,100.0,20.23,70200,Weekend,Saturday,Medium_Load,3.71,3.7601654529571533,-0.050165452957153356
2018-10-20 20:00:00,0.0,17.96,0.0,100.0,20.39,72000,Weekend,Saturday,Medium_Load,3.74,3.788132905960083,-0.048132905960082795
2018-10-20 21:00:00,0.0,17.93,0.0,100.0,19.9,75600,Weekend,Saturday,Medium_Load,3.64,3.6917526721954346,-0.051752672195434446
2018-10-20 21:15:00,0.0,18.07,0.0,100.0,19.9,76500,Weekend,Saturday,Medium_Load,3.67,3.724409818649292,-0.05440981864929206
2018-10-20 21:30:00,0.0,18.0,0.0,100.0,20.19,77400,Weekend,Saturday,Medium_Load,3.71,3.763038158416748,-0.05303815841674808
2018-10-20 21:45:00,0.0,18.04,0.0,100.0,19.78,78300,Weekend,Saturday,Medium_Load,3.64,3.696672201156616,-0.05667220115661609
2018-10-20 22:00:00,0.0,17.64,0.0,100.0,20.0,79200,Weekend,Saturday,Medium_Load,3.6,3.6413893699645996,-0.04138936996459952
2018-10-20 22:15:00,6.34,0.14,0.0,47.48,99.92,80100,Weekend,Saturday,Medium_Load,41.04,3.4552161693573,37.5847838306427
2018-10-20 22:30:00,6.73,0.0,0.0,45.3,100.0,81000,Weekend,Saturday,Medium_Load,3.42,3.413985013961792,0.006014986038207937
2018-10-20 22:45:00,6.66,0.0,0.0,46.1,100.0,81900,Weekend,Saturday,Medium_Load,3.46,3.4551522731781006,0.0048477268218993785
2018-10-20 23:15:00,6.23,0.0,0.0,57.6,100.0,83700,Weekend,Saturday,Light_Load,4.39,4.415044784545898,-0.025044784545898757
2018-10-20 23:30:00,5.83,0.0,0.0,49.82,100.0,84600,Weekend,Saturday,Light_Load,3.35,3.4057953357696533,-0.05579533576965323
2018-10-20 23:45:00,5.26,0.0,0.0,50.28,100.0,85500,Weekend,Saturday,Light_Load,3.06,3.0768284797668457,-0.01682847976684565
2018-10-21 00:00:00,6.23,0.0,0.0,46.92,100.0,0,Weekend,Sunday,Light_Load,3.31,3.263251543045044,0.04674845695495611
2018-10-21 00:15:00,4.32,0.0,0.0,53.56,100.0,900,Weekend,Sunday,Light_Load,2.74,2.728851318359375,0.011148681640625213
2018-10-21 00:30:00,4.39,0.0,0.0,52.95,100.0,1800,Weekend,Sunday,Light_Load,2.74,2.724876642227173,0.015123357772827362
2018-10-21 00:45:00,4.64,0.0,0.0,51.26,100.0,2700,Weekend,Sunday,Light_Load,2.77,2.7488348484039307,0.021165151596069354
2018-10-21 01:00:00,4.79,0.0,0.0,50.6,100.0,3600,Weekend,Sunday,Light_Load,2.81,2.790853261947632,0.019146738052368217
2018-10-21 01:15:00,4.54,0.0,0.0,53.03,100.0,4500,Weekend,Sunday,Light_Load,2.84,2.824681043624878,0.015318956375121928
2018-10-21 01:30:00,4.46,0.0,0.0,52.76,100.0,5400,Weekend,Sunday,Light_Load,2.77,2.753700017929077,0.01629998207092287
2018-10-21 01:45:00,4.61,0.0,0.0,51.09,100.0,6300,Weekend,Sunday,Light_Load,2.74,2.716848134994507,0.023151865005493377
2018-10-21 02:00:00,4.39,0.0,0.0,53.36,100.0,7200,Weekend,Sunday,Light_Load,2.77,2.7568931579589844,0.013106842041015643
