date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-11-07 15:45:00,78.19246838076748,38.88773190614123,3.138760265698167,0.04084579650594074,100.29574309032482,117.71427829254563,71243.69134222459,Weekday,Wednesday,Medium_Load
2018-01-11 12:00:00,98.14496838076747,62.02573190614123,3.138760265698167,0.04084579650594074,93.67174309032482,117.71427829254563,55718.69134222459,Weekday,Thursday,Maximum_Load
2018-03-22 22:15:00,20.680968380767485,8.872731906141228,19.158260265698164,0.006345796505940745,106.34474309032481,53.82027829254564,98153.69134222457,Weekday,Thursday,Medium_Load
2018-12-16 21:45:00,4.57,0.0,21.17,0.0,100.0,21.1,78300.0,Weekend,Sunday,Medium_Load
2018-05-22 06:30:00,3.02,4.43,0.0,0.0,56.33,100.0,23400.0,Weekday,Tuesday,Light_Load
2018-12-01 15:30:00,4.75,0.0,20.56,0.0,100.0,22.51,55800.0,Weekend,Saturday,Medium_Load
2018-08-11 02:45:00,2.66,4.97,0.0,0.0,47.19,100.0,9900.0,Weekend,Saturday,Light_Load
2018-09-29 08:15:00,21.85,19.84,0.0,0.01,74.03,100.0,29700.0,Weekend,Saturday,Light_Load
2018-06-05 21:45:00,4.0,0.0,18.04,0.0,100.0,21.65,78300.0,Weekday,Tuesday,Medium_Load
2018-11-27 13:30:00,152.17196838076748,70.09873190614123,3.138760265698167,0.07534579650594073,101.95174309032483,117.71427829254563,61928.69134222459,Weekday,Tuesday,Medium_Load
2018-01-26 16:45:00,114.59,36.47,0.0,0.05,95.29,100.0,60300.0,Weekday,Friday,Medium_Load
2018-11-14 22:00:00,5.65,0.0,18.83,0.0,100.0,28.74,79200.0,Weekday,Wednesday,Medium_Load
2018-11-27 08:15:00,69.78596838076747,45.55773190614123,3.1847602656981664,0.029345796505940748,92.06174309032482,117.71427829254563,40193.69134222459,Weekday,Tuesday,Light_Load
2018-03-24 14:30:00,33.19,1.69,1.44,0.02,99.87,99.91,52200.0,Weekend,Saturday,Maximum_Load
2018-05-07 18:15:00,69.3,37.62,0.0,0.03,87.89,100.0,65700.0,Weekday,Monday,Medium_Load
2018-12-06 00:00:00,4.0,3.85,0.0,0.0,72.05,100.0,0.0,Weekday,Thursday,Light_Load
